station,window_scale,start_idx,end_idx,start_time,end_time,latent_pc1,latent_pc2
1500008,6,0,5,2025-01-01 00:00:00,2025-01-01 05:00:00,-0.23051919,0.096142344
1500008,6,3,8,2025-01-01 03:00:00,2025-01-01 08:00:00,-0.23630013,0.10840087
1500008,6,6,11,2025-01-01 06:00:00,2025-01-01 11:00:00,-0.22979786,0.07715558
1500008,6,9,14,2025-01-01 09:00:00,2025-01-01 14:00:00,-0.22453146,-0.050953068
1500008,6,12,17,2025-01-01 12:00:00,2025-01-01 17:00:00,-0.2259149,0.028878855
1500008,6,15,20,2025-01-01 15:00:00,2025-01-01 20:00:00,-0.22557454,0.028023735
1500008,6,18,23,2025-01-01 18:00:00,2025-01-01 23:00:00,-0.23334332,0.09423954
1500008,6,21,26,2025-01-01 21:00:00,2025-01-02 02:00:00,-0.23583272,0.10748623
1500008,6,24,29,2025-01-02 00:00:00,2025-01-02 05:00:00,-0.23630013,0.10840087
1500008,6,27,32,2025-01-02 03:00:00,2025-01-02 08:00:00,-0.2356027,0.12400215
1500008,6,30,35,2025-01-02 06:00:00,2025-01-02 11:00:00,-0.2338908,0.15146002
1500008,6,33,38,2025-01-02 09:00:00,2025-01-02 14:00:00,-0.2338908,0.15146002
1500008,6,36,41,2025-01-02 12:00:00,2025-01-02 17:00:00,-0.2338908,0.15146002
1500008,6,39,44,2025-01-02 15:00:00,2025-01-02 20:00:00,-0.22784866,-0.33206546
1500008,6,42,47,2025-01-02 18:00:00,2025-01-02 23:00:00,-0.21824153,-0.26888657
1500008,6,45,50,2025-01-02 21:00:00,2025-01-03 02:00:00,-0.23444186,0.10486011
1500008,6,48,53,2025-01-03 00:00:00,2025-01-03 05:00:00,-0.22970043,0.092869066
1500008,6,51,56,2025-01-03 03:00:00,2025-01-03 08:00:00,-0.23533385,0.10148769
1500008,6,54,59,2025-01-03 06:00:00,2025-01-03 11:00:00,-0.22666399,0.045810536
1500008,6,57,62,2025-01-03 09:00:00,2025-01-03 14:00:00,-0.22548532,0.027780427
1500008,6,60,65,2025-01-03 12:00:00,2025-01-03 17:00:00,-0.22633834,0.04467574
1500008,6,63,68,2025-01-03 15:00:00,2025-01-03 20:00:00,-0.2510317,-0.65471053
1500008,6,66,71,2025-01-03 18:00:00,2025-01-03 23:00:00,-0.26399952,-0.17685376
1500008,6,69,74,2025-01-03 21:00:00,2025-01-04 02:00:00,-0.21927947,-0.080995895
1500008,6,72,77,2025-01-04 00:00:00,2025-01-04 05:00:00,-0.23143741,0.10754174
1500008,6,75,80,2025-01-04 03:00:00,2025-01-04 08:00:00,-0.23396255,0.10397479
1500008,6,78,83,2025-01-04 06:00:00,2025-01-04 11:00:00,-0.23471336,0.100305304
1500008,6,81,86,2025-01-04 09:00:00,2025-01-04 14:00:00,-0.22060786,-0.086771615
1500008,6,84,89,2025-01-04 12:00:00,2025-01-04 17:00:00,-0.21870911,-0.22325243
1500008,6,87,92,2025-01-04 15:00:00,2025-01-04 20:00:00,-0.2331624,0.10261325
1500008,6,90,95,2025-01-04 18:00:00,2025-01-04 23:00:00,-0.23180073,0.082090974
1500008,6,93,98,2025-01-04 21:00:00,2025-01-05 02:00:00,-0.23256835,0.14698993
1500008,6,96,101,2025-01-05 00:00:00,2025-01-05 05:00:00,-0.23471336,0.100305304
1500008,6,99,104,2025-01-05 03:00:00,2025-01-05 08:00:00,-0.23413189,0.121396825
1500008,6,102,107,2025-01-05 06:00:00,2025-01-05 11:00:00,-0.22923726,0.07876509
1500008,6,105,110,2025-01-05 09:00:00,2025-01-05 14:00:00,-0.22350922,-0.053076778
1500008,6,108,113,2025-01-05 12:00:00,2025-01-05 17:00:00,-0.22152634,-0.07333951
1500008,6,111,116,2025-01-05 15:00:00,2025-01-05 20:00:00,-0.22856206,0.076467745
1500008,6,114,119,2025-01-05 18:00:00,2025-01-05 23:00:00,-0.22845949,0.076169446
1500008,6,117,122,2025-01-05 21:00:00,2025-01-06 02:00:00,-0.23407581,0.0991782
1500008,6,120,125,2025-01-06 00:00:00,2025-01-06 05:00:00,-0.2288487,0.07746841
1500008,6,123,128,2025-01-06 03:00:00,2025-01-06 08:00:00,-0.22970043,0.092869066
1500008,6,126,131,2025-01-06 06:00:00,2025-01-06 11:00:00,-0.23292735,0.14809355
1500008,6,129,134,2025-01-06 09:00:00,2025-01-06 14:00:00,-0.2248567,0.02175938
1500008,6,132,137,2025-01-06 12:00:00,2025-01-06 17:00:00,-0.22475073,0.025832038
1500008,6,135,140,2025-01-06 15:00:00,2025-01-06 20:00:00,-0.22229204,-0.013087873
1500008,6,138,143,2025-01-06 18:00:00,2025-01-06 23:00:00,-0.23126402,0.091163784
1500008,6,141,146,2025-01-06 21:00:00,2025-01-07 02:00:00,-0.23341605,0.05852248
1500008,6,144,149,2025-01-07 00:00:00,2025-01-07 05:00:00,-0.23506245,0.10604273
1500008,6,147,152,2025-01-07 03:00:00,2025-01-07 08:00:00,-0.23404403,0.08552741
1500008,6,150,155,2025-01-07 06:00:00,2025-01-07 11:00:00,-0.23359673,0.1503309
