station,window_scale,start_idx,end_idx,start_time,end_time,regime_kmeans,regime_gmm,regime_hmm,regime_hierarchy_super
2BS5Z3V,12,0,11,2025-01-14 17:00:00,2025-01-15 04:00:00,1,4,4,1
2FRXYUC,12,0,11,2025-01-21 21:00:00,2025-01-22 08:00:00,1,4,4,1
3HPZXMS,12,0,11,2025-01-13 01:00:00,2025-01-13 12:00:00,1,4,4,1
4101871,12,0,11,2025-01-17 17:00:00,2025-01-18 04:00:00,1,0,4,1
4101871,12,12,23,2025-01-18 05:00:00,2025-01-18 16:00:00,1,0,4,1
4101871,12,24,35,2025-01-18 17:00:00,2025-01-19 04:00:00,1,0,4,1
4101871,12,36,47,2025-01-19 05:00:00,2025-01-19 16:00:00,1,0,4,1
4101871,12,48,59,2025-01-19 17:00:00,2025-01-20 04:00:00,1,0,4,1
4101871,12,60,71,2025-01-20 05:00:00,2025-01-20 16:00:00,1,0,4,1
4101871,12,72,83,2025-01-20 17:00:00,2025-01-21 04:00:00,1,0,4,1
4101871,12,84,95,2025-01-21 05:00:00,2025-01-21 16:00:00,1,0,4,1
4101871,12,96,107,2025-01-21 17:00:00,2025-01-22 04:00:00,1,0,4,1
4101871,12,108,119,2025-01-22 05:00:00,2025-01-22 16:00:00,1,0,4,1
4101871,12,120,131,2025-01-22 17:00:00,2025-01-23 04:00:00,1,0,4,1
4101871,12,132,143,2025-01-23 05:00:00,2025-01-23 16:00:00,1,0,4,1
4101871,12,144,155,2025-01-23 17:00:00,2025-01-24 04:00:00,1,0,4,1
4101871,12,156,167,2025-01-24 05:00:00,2025-01-24 16:00:00,1,0,4,1
4101871,12,168,179,2025-01-24 17:00:00,2025-01-25 04:00:00,1,0,4,1
4101871,12,180,191,2025-01-25 05:00:00,2025-01-25 16:00:00,1,0,4,1
4101871,12,192,203,2025-01-25 17:00:00,2025-01-26 04:00:00,1,0,4,1
4101871,12,204,215,2025-01-26 05:00:00,2025-01-26 16:00:00,1,0,4,1
4101871,12,216,227,2025-01-26 17:00:00,2025-01-27 04:00:00,1,0,4,1
4101871,12,228,239,2025-01-27 05:00:00,2025-01-27 16:00:00,1,0,4,1
4101871,12,240,251,2025-01-27 17:00:00,2025-01-28 04:00:00,1,0,4,1
4101871,12,252,263,2025-01-28 05:00:00,2025-01-28 16:00:00,1,0,4,1
4101871,12,264,275,2025-01-28 17:00:00,2025-01-29 04:00:00,1,0,4,1
4101871,12,276,287,2025-01-29 05:00:00,2025-01-29 16:00:00,1,0,4,1
4101871,12,288,299,2025-01-29 17:00:00,2025-01-30 04:00:00,1,0,4,1
4101871,12,300,311,2025-01-30 05:00:00,2025-01-30 16:00:00,1,0,4,1
4101871,12,312,323,2025-01-30 17:00:00,2025-01-31 04:00:00,1,0,4,1
4101871,12,324,335,2025-01-31 05:00:00,2025-01-31 16:00:00,1,0,4,1
4101872,12,0,11,2025-01-12 08:00:00,2025-01-12 19:00:00,1,0,4,1
4101872,12,12,23,2025-01-12 20:00:00,2025-01-13 07:00:00,1,0,4,1
4101872,12,24,35,2025-01-13 08:00:00,2025-01-13 19:00:00,1,0,4,1
4101872,12,36,47,2025-01-13 20:00:00,2025-01-14 07:00:00,1,0,4,1
4101872,12,48,59,2025-01-14 08:00:00,2025-01-14 19:00:00,1,0,4,1
4101872,12,60,71,2025-01-14 20:00:00,2025-01-15 07:00:00,1,0,4,1
4101872,12,72,83,2025-01-15 08:00:00,2025-01-15 19:00:00,1,0,4,1
4101872,12,84,95,2025-01-15 20:00:00,2025-01-16 07:00:00,1,0,4,1
4101872,12,96,107,2025-01-16 08:00:00,2025-01-16 19:00:00,1,0,4,1
4101872,12,108,119,2025-01-16 20:00:00,2025-01-17 07:00:00,1,0,4,1
4101872,12,120,131,2025-01-17 08:00:00,2025-01-17 19:00:00,1,0,4,1
4101872,12,132,143,2025-01-17 20:00:00,2025-01-18 07:00:00,1,0,4,1
4101872,12,144,155,2025-01-18 08:00:00,2025-01-18 19:00:00,1,0,4,1
4101872,12,156,167,2025-01-18 20:00:00,2025-01-19 07:00:00,1,0,4,1
4101872,12,168,179,2025-01-19 08:00:00,2025-01-19 19:00:00,1,0,4,1
4101872,12,180,191,2025-01-19 20:00:00,2025-01-20 07:00:00,1,0,4,1
4101872,12,192,203,2025-01-20 08:00:00,2025-01-20 19:00:00,1,0,4,1
4101872,12,204,215,2025-01-20 20:00:00,2025-01-21 07:00:00,1,0,4,1
4101872,12,216,227,2025-01-21 08:00:00,2025-01-21 19:00:00,1,0,4,1
4101872,12,228,239,2025-01-21 20:00:00,2025-01-22 07:00:00,1,0,4,1
