model,avg_duration,bic,silhouette,transition_entropy
deep_lstm_ae,,,0.48312701520042667,0.256515934326331
dense_ae_hmm,28.41007194244604,174743.1815488577,0.2769031524658203,0.8022220487827302
dense_ae_hmm_macro,157.96,,0.8177542686462402,0.4393586517408433
dense_ae_kmeans,46.45882352941177,,0.45692676305770874,0.468136975430906
gmm,48.15853658536585,-9293276.48310069,0.4183566888832875,0.29583235458638596
hmm,49.9873417721519,-9760736.952655418,0.4070485438808676,0.6755788339585429
kmeans,44.875,,0.5082864241749412,0.3886820005151249
vae_ablation,,,0.19684130496712993,0.47511903844176473
